Location,Winter,Aridity,Summer
Macquarie Island Research Station,C ,,C2 
Bird Island Research Station,C ,,C2 
"Pangnirtung, NU",E ,,C2 
"Isachsen Research Station, NU",E ,,C2 
Heard Island and McDonald Islands,D ,,C2 
"Concordia Research Station, Antarctica",Y ,,C2 
"Pond Inlet, NU",F ,,C1 
"Primavera Research Station, Antarctica",D ,,C1 
"McMurdo Research Station, Antarctica",F ,,C1 
"Davis Research Station, Antarctica",E ,,C1 
"Casey Research Station, Antarctica",E ,,C1 
"Svea Research Station, Antarctica",F ,,C1 
"N'Djamena, Chad",Z ,D ,X1 
"Niamey, Niger",Z ,D ,X1 
"Khartoum, Sudan",Z ,D ,X1 
"Bangkok, Thailand",Z ,S ,Z2 
"Phnom Penh, Cambodia",Z ,S ,Z2 
"Juba, South Sudan",Z ,S ,Z2 
"Ouagadougou, Burkina Faso",Z ,D ,Z2 
"Bamako, Mali",Z ,D ,Z2 
"Bandar Seri Begawan, Brunei",Z ,H ,Z1 
"Majuro, Marshall Islands",Z ,H ,Z1 
"Ngerulmud, Palau",Z ,H ,Z1 
"Funafuti, Tuvalu",Z ,H ,Z1 
"Hagåtña, Guam ",Z ,H ,Z1 
"Saipan, Northern Mariana Islands ",Z ,H ,Z1 
"Jakarta, Indonesia",Z ,G ,Z1 
"Manila, Philippines",Z ,G ,Z1 
"Kuala Lumpur, Malaysia",Z ,G ,Z1 
"Tarawa, Kiribati",Z ,G ,Z1 
"Panama City, Panama",Z ,G ,Z1 
"Port Moresby, Papua New Guinea",Z ,G ,Z1 
"Singapore, Singapore",Z ,G ,Z1 
"Sri Jayawardenepura Kotte, Sri Lanka",Z ,G ,Z1 
"Nukunonu, Tokelau ",Z ,G ,Z1 
"Bissau, Guinea-Bissau",Z ,W ,Z1 
"Ho Chi Minh City, Vietnam",Z ,S ,Z1 
"Lagos, Nigeria",Z ,S ,Z1 
"Porto-Novo, Benin",Z ,S ,Z1 
"Georgetown, Guyana",Z ,S ,Z1 
"Managua, Nicaragua",Z ,S ,Z1 
"Paramaribo, Suriname",Z ,S ,Z1 
"Banjul, Gambia",Z ,D ,Z1 
"Mogadishu, Somalia",Z ,D ,Z1 
"Willemstad, Curaçao ",Z ,D ,Z1 
"Chandrapur, India",A ,W ,X1 
"Kota, India",A ,W ,X1 
"Manama, Bahrain",A ,D ,X1 
"Kuwait City, Kuwait",A ,D ,X1 
"Doha, Qatar",A ,D ,X1 
"Riyadh, Saudi Arabia",A ,D ,X1 
"Dubai, United Arab Emirates",A ,D ,X1 
"Bourem, Mali",A ,D ,X1 
"Delhi, India",A ,W ,Z2 
"Mumbai, India",A ,W ,Z2 
"Kolkata, India",A ,W ,Z2 
"Hyderabad, India",A ,W ,Z2 
"Naypyidaw, Myanmar",A ,W ,Z2 
"Hanoi, Vietnam",A ,W ,Z2 
"Chennai, India",A ,M ,Z2 
"Karachi, Pakistan",A ,D ,Z2 
"Djibouti, Djibouti",A ,D ,Z2 
"Muscat, Oman",A ,D ,Z2 
"Monrovia, Liberia",A ,H ,Z1 
"Yaren, Nauru",A ,H ,Z1 
"Apia, Samoa",A ,H ,Z1 
"Yaoundé, Cameroon",A ,G ,Z1 
"Libreville, Gabon",A ,G ,Z1 
"Malé, Maldives",A ,G ,Z1 
"Victoria, Seychelles",A ,G ,Z1 
"Hamilton, Bermuda ",A ,G ,Z1 
"Brades, Montserrat ",A ,G ,Z1 
"Guangzhou–Foshan, China",A ,W ,Z1 
"Dhaka, Bangladesh",A ,W ,Z1 
"Shenzhen, China",A ,W ,Z1 
"Dongguan, China",A ,W ,Z1 
"Brasília, Brazil",A ,W ,Z1 
"Conakry, Guinea",A ,W ,Z1 
"Vientiane, Laos",A ,W ,Z1 
"Lilongwe, Malawi",A ,W ,Z1 
"Abuja, Nigeria",A ,W ,Z1 
"Lusaka, Zambia",A ,W ,Z1 
"Kingston, Jamaica",A ,M ,Z1 
"Trincomalee, Sri Lanka",A ,M ,Z1 
"Bangalore, India",A ,S ,Z1 
"Kinshasa, DR Congo",A ,S ,Z1 
"Rio de Janeiro, Brazil",A ,S ,Z1 
"Miami–Fort Lauderdale, FL",A ,S ,Z1 
"Tampa–St. Petersburg, FL",A ,S ,Z1 
"Orlando, FL",A ,S ,Z1 
"San Juan, PR",A ,S ,Z1 
"St. John's, Antigua and Barbuda",A ,S ,Z1 
"Nassau, Bahamas",A ,S ,Z1 
"Bridgetown, Barbados",A ,S ,Z1 
"Belmopan, Belize",A ,S ,Z1 
"Bangui, Central African Republic",A ,S ,Z1 
"Brazzaville, Congo",A ,S ,Z1 
"Yamoussoukro, Côte d'Ivoire",A ,S ,Z1 
"Havana, Cuba",A ,S ,Z1 
"Santo Domingo, Dominican Republic",A ,S ,Z1 
"San Salvador, El Salvador",A ,S ,Z1 
"Accra, Ghana",A ,S ,Z1 
"St. George's, Grenada",A ,S ,Z1 
"Port-au-Prince, Haiti",A ,S ,Z1 
"Asunción, Paraguay",A ,S ,Z1 
"Basseterre, Saint Kitts and Nevis",A ,S ,Z1 
"Castries, Saint Lucia",A ,S ,Z1 
"Kingstown, Saint Vincent and the Grenadines",A ,S ,Z1 
"Lomé, Togo",A ,S ,Z1 
"Port of Spain, Trinidad and Tobago",A ,S ,Z1 
"The Valley, Anguilla ",A ,S ,Z1 
"Road Town, British Virgin Islands ",A ,S ,Z1 
"George Town, Cayman Islands ",A ,S ,Z1 
"Cockburn Town, Turks & Caicos ",A ,S ,Z1 
"Charlotte Amalie, U.S. Virgin Islands ",A ,S ,Z1 
"San Juan, Puerto Rico ",A ,S ,Z1 
"Philipsburg, Sint Maarten ",A ,S ,Z1 
"Luanda, Angola",A ,D ,Z1 
"Gaborone, Botswana",A ,D ,Z1 
"Praia, Cabo Verde",A ,D ,Z1 
"Nouakchott, Mauritania",A ,D ,Z1 
"Maputo, Mozambique",A ,D ,Z1 
"Windhoek, Namibia",A ,D ,Z1 
"Dakar, Senegal",A ,D ,Z1 
"Oranjestad, Aruba ",A ,D ,Z1 
"Kralendijk, Bonaire ",A ,D ,Z1 
"The Bottom, Saba ",A ,D ,Z1 
"Salango Island, Ecuador",A ,D ,Z1 
"San José, Costa Rica",A ,H ,A2 
"Roseau, Dominica",A ,H ,A2 
"Malabo, Equatorial Guinea",A ,H ,A2 
"Palikir, Federated States of Micronesia",A ,H ,A2 
"Suva, Fiji",A ,H ,A2 
"Guatemala City, Guatemala",A ,H ,A2 
"São Tomé, São Tomé and Príncipe",A ,H ,A2 
"Honiara, Solomon Islands",A ,H ,A2 
"Port Vila, Vanuatu",A ,H ,A2 
"Pago Pago, American Samoa ",A ,H ,A2 
"Mata-Utu, Wallis & Futuna ",A ,H ,A2 
"Alofi, Niue ",A ,H ,A2 
"Santo Domingo, Ecuador",A ,H ,A2 
"São Paulo, Brazil",A ,G ,A2 
"Gitega, Burundi",A ,G ,A2 
"Moroni, Comoros",A ,G ,A2 
"Port Louis, Mauritius",A ,G ,A2 
"Kigali, Rwanda",A ,G ,A2 
"Nukuʻalofa, Tonga",A ,G ,A2 
"Kampala, Uganda",A ,G ,A2 
"Papeete, French Polynesia ",A ,G ,A2 
"Nouméa, New Caledonia ",A ,G ,A2 
"Asmara, Eritrea",A ,W ,A2 
"Antananarivo, Madagascar",A ,W ,A2 
"Freetown, Sierra Leone",A ,W ,A2 
"Harare, Zimbabwe",A ,W ,A2 
"Honolulu, HI",A ,M ,A2 
"Tegucigalpa, Honduras",A ,S ,A2 
"Nairobi, Kenya",A ,S ,A2 
"Dili, Timor-Leste",A ,S ,A2 
"Lima, Peru",A ,D ,A2 
"Dodoma, Tanzania",A ,D ,A2 
"Caracas, Venezuela",A ,D ,A2 
"Oranjestad, Sint Eustatius ",A ,D ,A2 
"Quito, Ecuador",A ,G ,A1 
"Addis Ababa, Ethiopia",A ,G ,A1 
"Baghdad, Iraq",B ,D ,X1 
"Sharmokhiya, Iraq",B ,D ,X1 
"El Menia, Algeria",B ,D ,X1 
"Wuhan, China",B ,G ,Z2 
"Hengyang, China",B ,G ,Z2 
"Lahore, Pakistan",B ,W ,Z2 
"Gujrat, Pakistan",B ,W ,Z2 
"Dallas–Fort Worth–Arlington, TX",B ,S ,Z2 
"Austin, TX",B ,S ,Z2 
"Oklahoma City, OK",B ,S ,Z2 
"Islamabad, Pakistan",B ,S ,Z2 
"Cairo, Egypt",B ,D ,Z2 
"Phoenix–Mesa–Scottsdale, AZ",B ,D ,Z2 
"Las Vegas–Henderson–Paradise, NV",B ,D ,Z2 
"San Antonio, TX",B ,D ,Z2 
"Tripoli, Libya",B ,D ,Z2 
"Crystal City, TX",B ,D ,Z2 
"Batman, Turkey",B ,D ,Z2 
"Taipei, Taiwan",B ,G ,Z1 
"Hangzhou, China",B ,G ,Z1 
"Atlanta, GA",B ,G ,Z1 
"Charlotte, NC–SC",B ,G ,Z1 
"Memphis, TN–MS–AR",B ,G ,Z1 
"New Orleans, LA",B ,G ,Z1 
"Montgomery, AL",B ,G ,Z1 
"Little Rock, AR",B ,G ,Z1 
"Tallahassee, FL",B ,G ,Z1 
"Baton Rouge, LA",B ,G ,Z1 
"Jackson, MS",B ,G ,Z1 
"Columbia, SC",B ,G ,Z1 
"Fuzhou, China",B ,G ,Z1 
"Chengdu, China",B ,W ,Z1 
"Istanbul, Turkey",B ,M ,Z1 
"Rome, Italy",B ,M ,Z1 
"Monaco, Monaco",B ,M ,Z1 
"Chongqing, China",B ,S ,Z1 
"Houston, TX",B ,S ,Z1 
"Jacksonville, FL",B ,S ,Z1 
"Riverside–San Bernardino, CA",B ,D ,Z1 
"Sacramento, CA",B ,D ,Z1 
"Algiers, Algeria",B ,D ,Z1 
"Nicosia, Cyprus",B ,D ,Z1 
"Athens, Greece",B ,D ,Z1 
"Jerusalem, Israel",B ,D ,Z1 
"Amman, Jordan",B ,D ,Z1 
"Beirut, Lebanon",B ,D ,Z1 
"Valletta, Malta",B ,D ,Z1 
"Bloemfontein, South Africa",B ,D ,Z1 
"Madrid, Spain",B ,D ,Z1 
"Tunis, Tunisia",B ,D ,Z1 
"Vatican City, Vatican City",B ,D ,Z1 
"Gibraltar, Gibraltar ",B ,D ,Z1 
"Melilla, Melilla ",B ,D ,Z1 
"Barcelona, Spain",B ,D ,Z1 
"Sedona, AZ",B ,D ,Z1 
"San José de la Joya, Mexico",B ,D ,Z1 
"Buenos Aires, Argentina",B ,G ,A2 
"Montevideo, Uruguay",B ,G ,A2 
"Mexico City, Mexico",B ,W ,A2 
"Johannesburg–Pretoria, South Africa",B ,W ,A2 
"Mbabane, Eswatini",B ,W ,A2 
"Maseru, Lesotho",B ,W ,A2 
"Kathmandu, Nepal",B ,W ,A2 
"Seattle–Tacoma, WA",B ,M ,A2 
"San Francisco–Oakland, CA",B ,M ,A2 
"Portland, OR–WA",B ,M ,A2 
"San Jose, CA",B ,M ,A2 
"Salem, OR",B ,M ,A2 
"Olympia, WA",B ,M ,A2 
"Lisbon, Portugal",B ,M ,A2 
"Ponta Delgada, Azores ",B ,M ,A2 
"Surrey, BC",B ,M ,A2 
"Richmond, BC",B ,M ,A2 
"Canberra, Australia",B ,S ,A2 
"Sana'a, Yemen",B ,S ,A2 
"Los Angeles, United States",B ,D ,A2 
"San Diego, CA",B ,D ,A2 
"Santiago, Chile",B ,D ,A2 
"Rabat, Morocco",B ,D ,A2 
"Ceuta, Ceuta ",B ,D ,A2 
"Coronado Islands, Mexico",B ,D ,A2 
"Wellington, New Zealand",B ,H ,A1 
"Avarua, Cook Islands ",B ,H ,A1 
"Adamstown, Pitcairn Islands ",B ,G ,A1 
"Kingston, Norfolk Island ",B ,G ,A1 
"Sucre, Bolivia",B ,W ,A1 
"Phungling, Nepal",B ,W ,A1 
"Funchal, Madeira ",B ,M ,A1 
"Hanga Roa, Easter Island ",B ,M ,A1 
"Lompoc, CA",B ,M ,A1 
"Cape Town, South Africa",B ,D ,A1 
"Jamestown, St Helena ",B ,D ,A1 
"Bogotá, Colombia",B ,H ,B2 
"Tehran, Iran",C ,D ,Z2 
"Baku, Azerbaijan",C ,D ,Z2 
"Ashgabat, Turkmenistan",C ,D ,Z2 
"Tashkent, Uzbekistan",C ,D ,Z2 
"Tokyo–Yokohama, Japan",C ,H ,Z1 
"Nagoya, Japan",C ,H ,Z1 
"Shanghai, China",C ,G ,Z1 
"New York, United States",C ,G ,Z1 
"Osaka–Kobe–Kyoto, Japan",C ,G ,Z1 
"Chicago, United States",C ,G ,Z1 
"Philadelphia, PA–NJ–DE–MD",C ,G ,Z1 
"Washington–Arlington, DC–VA–MD",C ,G ,Z1 
"Boston, MA–NH",C ,G ,Z1 
"Detroit, MI",C ,G ,Z1 
"Baltimore, MD",C ,G ,Z1 
"Pittsburgh, PA",C ,G ,Z1 
"Indianapolis, IN",C ,G ,Z1 
"Cincinnati, OH–KY",C ,G ,Z1 
"Columbus, OH",C ,G ,Z1 
"Virginia Beach–Norfolk, VA",C ,G ,Z1 
"Providence, RI–MA",C ,G ,Z1 
"Nashville–Davidson, TN",C ,G ,Z1 
"Raleigh, NC",C ,G ,Z1 
"Richmond, VA",C ,G ,Z1 
"Hartford, CT",C ,G ,Z1 
"Louisville/Jefferson County, KY–IN",C ,G ,Z1 
"Dover, DE",C ,G ,Z1 
"Springfield, IL",C ,G ,Z1 
"Frankfort, KY",C ,G ,Z1 
"Annapolis, MD",C ,G ,Z1 
"Trenton, NJ",C ,G ,Z1 
"Albany, NY",C ,G ,Z1 
"Harrisburg, PA",C ,G ,Z1 
"Charleston, WV",C ,G ,Z1 
"Carbondale, IL",C ,G ,Z1 
"Champaign, IL",C ,G ,Z1 
"Seoul–Incheon, South Korea",C ,W ,Z1 
"Beijing, China",C ,W ,Z1 
"Zhengzhou, China",C ,W ,Z1 
"Tianjin, China",C ,W ,Z1 
"Pyongyang, North Korea",C ,W ,Z1 
"Salt Lake City, UT",C ,M ,Z1 
"Boise, ID",C ,M ,Z1 
"Tirana, Albania",C ,M ,Z1 
"Podgorica, Montenegro",C ,M ,Z1 
"Dushanbe, Tajikistan",C ,M ,Z1 
"Xi’an, China",C ,S ,Z1 
"Minneapolis–St. Paul, MN",C ,S ,Z1 
"St. Louis, MO–IL",C ,S ,Z1 
"Kansas City, MO–KS",C ,S ,Z1 
"Des Moines, IA",C ,S ,Z1 
"Topeka, KS",C ,S ,Z1 
"Jefferson City, MO",C ,S ,Z1 
"Lincoln, NE",C ,S ,Z1 
"Pierre, SD",C ,S ,Z1 
"Sofia, Bulgaria",C ,S ,Z1 
"Zagreb, Croatia",C ,S ,Z1 
"Tbilisi, Georgia",C ,S ,Z1 
"Budapest, Hungary",C ,S ,Z1 
"Pristina, Kosovo",C ,S ,Z1 
"Bishkek, Kyrgyzstan",C ,S ,Z1 
"Chișinău, Moldova",C ,S ,Z1 
"Skopje, North Macedonia",C ,S ,Z1 
"Belgrade, Serbia",C ,S ,Z1 
"Yerevan, Armenia",C ,D ,Z1 
"Bucharest, Romania",C ,D ,Z1 
"Ankara, Turkey",C ,D ,Z1 
"Aksu City, China",C ,D ,Z1 
"Yakima, WA",C ,D ,Z1 
"Borujerd, Iran",C ,D ,Z1 
"Sharistan, Afghanistan",C ,D ,Z1 
"Augusta, ME",C ,H ,A2 
"Concord, NH",C ,H ,A2 
"Bern, Switzerland",C ,H ,A2 
"Halifax, NS",C ,H ,A2 
"Cape Breton Regional Municipality, NS",C ,H ,A2 
"Truro, NS",C ,H ,A2 
"New Glasgow, NS",C ,H ,A2 
"Amherst, NS",C ,H ,A2 
"Moncton, NB",C ,H ,A2 
"Saint John, NB",C ,H ,A2 
"Fredericton, NB",C ,H ,A2 
"Dieppe, NB",C ,H ,A2 
"Charlottetown, PE",C ,H ,A2 
"Cleveland, OH",C ,G ,A2 
"Milwaukee, WI",C ,G ,A2 
"Buffalo, NY",C ,G ,A2 
"Lansing, MI",C ,G ,A2 
"Madison, WI",C ,G ,A2 
"Sarajevo, Bosnia and Herzegovina",C ,G ,A2 
"Ljubljana, Slovenia",C ,G ,A2 
"Toronto, ON",C ,G ,A2 
"Mississauga, ON",C ,G ,A2 
"Brampton, ON",C ,G ,A2 
"Hamilton, ON",C ,G ,A2 
"Longnan, China",C ,W ,A2 
"Paris, France",C ,M ,A2 
"Carson City, NV",C ,M ,A2 
"Luxembourg, Luxembourg",C ,M ,A2 
"San Marino, San Marino",C ,M ,A2 
"Saint-Pierre, Saint-Pierre & Miquelon ",C ,M ,A2 
"Abbotsford, BC",C ,M ,A2 
"Santa Fe, NM",C ,S ,A2 
"Cheyenne, WY",C ,S ,A2 
"Kabul, Afghanistan",C ,S ,A2 
"Vienna, Austria",C ,S ,A2 
"Minsk, Belarus",C ,S ,A2 
"Prague, Czech Republic",C ,S ,A2 
"Berlin, Germany",C ,S ,A2 
"Vilnius, Lithuania",C ,S ,A2 
"Warsaw, Poland",C ,S ,A2 
"Bratislava, Slovakia",C ,S ,A2 
"Kyiv, Ukraine",C ,S ,A2 
"Lethbridge, AB",C ,S ,A2 
"Rexburg, ID",C ,S ,A2 
"Denver–Aurora, CO",C ,D ,A2 
"Helena, MT",C ,D ,A2 
"Damascus, Syria",C ,D ,A2 
"Shoshoni, WY",C ,D ,A2 
"Meeteetse, WY",C ,D ,A2 
"Vaduz, Liechtenstein",C ,H ,A1 
"Oslo, Norway",C ,H ,A1 
"Andorra la Vella, Andorra",C ,G ,A1 
"Copenhagen, Denmark",C ,G ,A1 
"Tallinn, Estonia",C ,G ,A1 
"Helsinki, Finland",C ,G ,A1 
"Riga, Latvia",C ,G ,A1 
"Anchorage, AK",C ,G ,A1 
"Knik-Fairview, AK",C ,G ,A1 
"North Lakes, AK",C ,G ,A1 
"Meadow Lakes, AK",C ,G ,A1 
"Wasilla, AK",C ,G ,A1 
"Tanaina, AK",C ,G ,A1 
"Kalifornsky, AK",C ,G ,A1 
"Kenai, AK",C ,G ,A1 
"Bethel, AK",C ,G ,A1 
"Sterling, AK",C ,G ,A1 
"Palmer, AK",C ,G ,A1 
"Gateway, AK",C ,G ,A1 
"London, United Kingdom",C ,M ,A1 
"Brussels, Belgium",C ,M ,A1 
"Dublin, Ireland",C ,M ,A1 
"Amsterdam, Netherlands",C ,M ,A1 
"Vancouver, BC",C ,M ,A1 
"Burnaby, BC",C ,M ,A1 
"St. John's, NL",C ,M ,A1 
"Conception Bay South, NL",C ,M ,A1 
"Mount Pearl, NL",C ,M ,A1 
"Paradise, NL",C ,M ,A1 
"Ketchikan, AK",C ,M ,A1 
"Stockholm, Sweden",C ,S ,A1 
"Comodoro Rivadavia, Argentina",C ,D ,A1 
"Juneau, AK",C ,H ,B2 
Edinburgh of the Seven Seas,C ,H ,B2 
"Adak, AK",C ,H ,B2 
"Thimphu, Bhutan",C ,W ,B2 
"Sitka, AK",C ,M ,B2 
"Reykjavík, Iceland",C ,H ,B1 
"Stanley, Falkland Islands ",C ,G ,B1 
"Ushuaia, Argentina",C ,G ,B1 
"Tórshavn, Faroe Islands ",C ,M ,B1 
"Shenyang, China",D ,W ,Z1 
"Bismarck, ND",D ,S ,Z1 
"Grand Forks, ND",D ,S ,Z1 
"Ushmola, Kazakhstan",D ,D ,Z1 
"Montpelier, VT",D ,H ,A2 
"Montreal, QC",D ,H ,A2 
"Quebec City, QC",D ,H ,A2 
"Laval, QC",D ,H ,A2 
"Longueuil, QC",D ,H ,A2 
"Miramichi, NB",D ,H ,A2 
"Moscow, Russia",D ,G ,A2 
"Ottawa, Canada",D ,G ,A2 
"Ottawa, ON",D ,G ,A2 
"Gatineau, QC",D ,G ,A2 
"Duluth, MN",D ,G ,A2 
"Lutsen, MN",D ,G ,A2 
"Thunder Bay, ON",D ,G ,A2 
"Calgary, AB",D ,S ,A2 
"Edmonton, AB",D ,S ,A2 
"Red Deer, AB",D ,S ,A2 
"St. Albert, AB",D ,S ,A2 
"Winnipeg, MB",D ,S ,A2 
"Brandon, MB",D ,S ,A2 
"Steinbach, MB",D ,S ,A2 
"Portage la Prairie, MB",D ,S ,A2 
"Saskatoon, SK",D ,S ,A2 
"Regina, SK",D ,S ,A2 
"Prince Albert, SK",D ,S ,A2 
"Moose Jaw, SK",D ,S ,A2 
"Swift Current, SK",D ,S ,A2 
"Novosibirsk, Russia",D ,S ,A2 
"Krasnoyarsk, Russia",D ,S ,A2 
"Omsk, Russia",D ,S ,A2 
"Astana, Kazakhstan",D ,D ,A2 
"Zhetikara, Kazakhstan",D ,D ,A2 
"Corner Brook, NL",D ,H ,A1 
"Fairbanks, AK",D ,S ,A1 
"Badger, AK",D ,S ,A1 
"College, AK",D ,S ,A1 
"Steele Creek, AK",D ,S ,A1 
"Chena Ridge, AK",D ,S ,A1 
"Prudhoe Bay, AK",D ,D ,A1 
"Iqaluit, NU",D ,H ,B2 
"Wainwright, AK",D ,S ,B2 
"West Taijinar Lake, China",D ,D ,B2 
"Nuuk, Greenland ",D ,H ,B1 
"Longyearbyen, Svalbard & Jan Mayen ",D ,H ,B1 
"Utqiagvik, AK",D ,S ,B1 
"Thompson, MB",E ,G ,A2 
"Ulaanbaatar, Mongolia",E ,W ,A2 
"Hulunbuir, China",E ,W ,A2 
"Mandalgovi, Mongolia",E ,D ,A2 
"Fort Simpson, NT",E ,G ,A1 
"Arviat, NU",E ,G ,A1 
"Bulgan, Mongolia",E ,W ,A1 
"Yellowknife, NT",E ,S ,A1 
"Hay River, NT",E ,S ,A1 
"Inuvik, NT",E ,S ,A1 
"Fort Smith, NT",E ,S ,A1 
"Behchoko, NT",E ,S ,A1 
"Fort Providence, NT",E ,S ,A1 
"Norman Wells, NT",E ,S ,A1 
"Fort Good Hope, NT",E ,S ,A1 
"Baker Lake, NU",E ,S ,A1 
"Rankin Inlet, NU",E ,G ,B2 
"Coral Harbour, NU",E ,G ,B2 
"Tuktoyaktuk, NT",E ,S ,B2 
"Cambridge Bay, NU",E ,S ,B2 
"Tuktoyaktuk, NT",E ,S ,B2 
"Qikiqtarjuaq, NU",E ,H ,B1 
"Igloolik, NU",E ,G ,B1 
"Yakutsk, Russia",F ,S ,A2 
"Eureka Research Station, NU",F ,S ,B1 
"Verkhoyansk, Russia",G ,S ,A1 
"Ust-Nera, Russia",G ,B2 ,